Name,Highway,Highway_Stress,MaxSpeed,MaxSpeed_Stress,Lanes,Lanes_Stress,Stress_Level,Geometry
East Michigan Avenue,tertiary,1,32,3,4,4,3,"LINESTRING (-85.555512 42.291885, -85.555736 42.291949, -85.555869 42.291983, -85.5562889 42.2920816, -85.5575465 42.2923733, -85.5580642 42.2924934, -85.5582057 42.2925249, -85.558445 42.292573)"
East Michigan Avenue,tertiary,1,32,3,4,4,3,"LINESTRING (-85.555331 42.291829, -85.555512 42.291885)"
Western Avenue,unclassified,1,25,2,2,2,2,"LINESTRING (-85.614779 42.277887, -85.6147274 42.2778067, -85.614681 42.277728, -85.614652 42.277657, -85.614631 42.277547, -85.614643 42.27741, -85.614684 42.277298, -85.614774 42.277183, -85.615087 42.2769556)"
Western Avenue,unclassified,1,25,2,2,2,2,"LINESTRING (-85.615087 42.2769556, -85.614774 42.277183, -85.614684 42.277298, -85.614643 42.27741, -85.614631 42.277547, -85.614652 42.277657, -85.614681 42.277728, -85.6147274 42.2778067, -85.614779 42.277887)"
Western Avenue,unclassified,1,25,2,1,1,1,"LINESTRING (-85.615087 42.2769556, -85.61528 42.2768499, -85.6153237 42.2768362, -85.6153692 42.2768296, -85.615447 42.2768364)"
Allen Boulevard,residential,1,32,3,2,2,2,"LINESTRING (-85.5921394 42.2914902, -85.5921643 42.2921333, -85.5921547 42.2922134, -85.5921289 42.2922913, -85.5921155 42.292365, -85.5921327 42.2928806)"
West Michigan Avenue,primary,4,45,4,5,3,4,"LINESTRING (-85.5921394 42.2914902, -85.591772 42.2914981, -85.5915412 42.291503, -85.5913067 42.291508, -85.5906711 42.2915217, -85.590298 42.2915297, -85.5901645 42.2915326, -85.5899487 42.2915372, -85.5898536 42.2915393, -85.5897538 42.2915414)"
Stadium Drive,primary,4,45,4,5,3,4,"LINESTRING (-85.6436443 42.2704069, -85.6429266 42.2704886, -85.64253 42.2705337, -85.6423627 42.2705528)"
Oakland Drive,tertiary,1,30,2,3,3,2,"LINESTRING (-85.597942 42.288107, -85.597873 42.2882)"
Oakland Drive,tertiary,1,30,2,3,3,2,"LINESTRING (-85.597942 42.288107, -85.598771 42.287085, -85.5987948 42.2870569, -85.598899 42.286934, -85.598942 42.28687, -85.598981 42.286767, -85.598993 42.286639, -85.598982 42.286523, -85.598969 42.28647, -85.598934 42.286403, -85.598832 42.2862523, -85.598037 42.285078, -85.59801 42.285025, -85.597997 42.284956, -85.597989 42.284874, -85.5979904 42.2847901, -85.597991 42.284757, -85.598027 42.284631, -85.598183 42.284207)"
West Michigan Avenue,tertiary,1,35,3,5,3,2,"LINESTRING (-85.6244488 42.2808133, -85.623704 42.2810276)"
West Michigan Avenue,tertiary,1,35,3,5,3,2,"LINESTRING (-85.6244488 42.2808133, -85.6248325 42.2807096, -85.6249687 42.2806703)"
West Paterson Street,tertiary,1,32,3,2,2,2,"LINESTRING (-85.588802 42.303396, -85.587635 42.303395)"
West Paterson Street,tertiary,1,32,3,2,2,2,"LINESTRING (-85.588802 42.303396, -85.5892545 42.3034005, -85.59002 42.303408)"
North Westnedge Avenue,secondary,2,32,3,2,2,2,"LINESTRING (-85.59002 42.303408, -85.5900184 42.3033534, -85.589994 42.302521)"
West Paterson Street,tertiary,1,32,3,2,2,2,"LINESTRING (-85.59002 42.303408, -85.5892545 42.3034005, -85.588802 42.303396)"
Sprinkle Road,secondary,2,32,3,4,4,3,"LINESTRING (-85.5311501 42.2588157, -85.5310943 42.259633, -85.5310074 42.2606036)"
Sprinkle Road,secondary,2,32,3,2,2,2,"LINESTRING (-85.5311501 42.2588157, -85.5311768 42.2587245, -85.5312058 42.2586397, -85.5312269 42.2585947, -85.5312555 42.2585547, -85.5312989 42.2585059, -85.531332 42.258473, -85.531419 42.2584011)"
West Michigan Avenue,tertiary,1,25,2,2,2,2,"LINESTRING (-85.6042092 42.2864574, -85.6043734 42.2864272, -85.6045827 42.2863744, -85.6048787 42.2863092, -85.6049534 42.2862908, -85.605415 42.2861673)"
West Michigan Avenue,tertiary,1,25,2,2,2,2,"LINESTRING (-85.6042092 42.2864574, -85.604107 42.2864673, -85.6040182 42.2864686, -85.603887 42.2864607, -85.6037832 42.2864452, -85.6036064 42.2864005)"
Edgemoor Avenue,residential,1,25,2,2,2,2,"LINESTRING (-85.594909 42.264471, -85.5955352 42.2646199, -85.5955953 42.2646342, -85.597596 42.26511, -85.597871 42.265134)"
King Highway,primary,4,32,3,4,4,4,"LINESTRING (-85.5665 42.289433, -85.5666324 42.2895444, -85.566841 42.28972, -85.5671556 42.2899926, -85.567634 42.290407)"
